Time Period,Reading,m,Data,SMA_Mt,SMA_forecast_y(t-1),SMA_Forecast_error,SMA_Squared_error,SMA_Relative_persen_error,SMA_Absolute_persen_error,SMA_SSE,SMA_MSE,SMA_MAPE,HF_Mt,HF_forecast_y(t-1),HF_Forecast_error,HF_Squared_error,HF_Relative_persen_error,HF_Absolute_persen_error,HF_SSE,HF_MSE,HF_MAPE
59,84.8839,13,97.8839,98.42456667,98.24643333,-0.362533333,0.131430418,-0.37%,0.37%,,,,98.308925,98.581,0.6971,0.48594841,0.71%,0.71%,,,
60,85.4176,13,98.4176,98.4506,98.42456667,-0.006966667,4.85344E-05,-0.01%,0.01%,,,,97.9875,98.308925,-0.108675,0.011810256,-0.11%,0.11%,,,
61,84.2309,13,97.2309,97.84413333,98.4506,-1.2197,1.48766809,-1.25%,1.25%,,,,97.363875,97.9875,0.7566,0.57244356,0.78%,0.78%,,,
62,83.5761,13,96.5761,97.4082,97.84413333,-1.268033333,1.607908534,-1.31%,1.31%,,,,96.87935,97.363875,0.787775,0.620589451,0.82%,0.82%,,,
63,84.1343,13,97.1343,96.98043333,97.4082,-0.2739,0.07502121,-0.28%,0.28%,,,,96.635525,96.87935,-0.25495,0.064999502,-0.26%,0.26%,,,
64,82.6974,13,95.6974,96.46926667,96.98043333,-1.283033333,1.646174534,-1.34%,1.34%,,,,96.268625,96.635525,0.938125,0.880078516,0.98%,0.98%,,,
65,83.5454,13,96.5454,96.45903333,96.46926667,0.076133333,0.005796284,0.08%,0.08%,,,,97.0649,96.268625,-0.276775,0.076604401,-0.29%,0.29%,,,
66,86.4714,13,99.4714,97.23806667,96.45903333,3.012366667,9.074352934,3.03%,3.03%,,,,98.675625,97.0649,-2.4065,5.79124225,-2.42%,2.42%,,,
67,86.2143,13,99.2143,98.41036667,97.23806667,1.976233333,3.905498188,1.99%,1.99%,,,,99.480375,98.675625,-0.538675,0.290170756,-0.54%,0.54%,,,
68,87.0215,13,100.0215,99.56906667,98.41036667,1.611133333,2.595750618,1.61%,1.61%,,,,99.726925,99.480375,-0.541125,0.292816266,-0.54%,0.54%,,,
69,86.6504,13,99.6504,99.62873333,99.56906667,0.081333333,0.006615111,0.08%,0.08%,,,,99.507625,99.726925,0.076525,0.005856076,0.08%,0.08%,,,
70,85.7082,13,98.7082,99.46003333,99.62873333,-0.920533333,0.847381618,-0.93%,0.93%,,,,99.0543,99.507625,0.799425,0.639080331,0.81%,0.81%,,,
71,86.1504,13,99.1504,99.16966667,99.46003333,-0.309633333,0.095872801,-0.31%,0.31%,,,,98.95305,99.0543,-0.0961,0.00923521,-0.10%,0.10%,,,
72,85.8032,13,98.8032,98.88726667,99.16966667,-0.366466667,0.134297818,-0.37%,0.37%,,,,98.844125,98.95305,0.14985,0.022455023,0.15%,0.15%,,,
73,85.6197,13,98.6197,98.85776667,98.88726667,-0.267566667,0.071591921,-0.27%,0.27%,,,,98.319125,98.844125,0.224425,0.050366581,0.23%,0.23%,,,
74,84.2339,13,97.2339,98.21893333,98.85776667,-1.623866667,2.636942951,-1.67%,1.67%,,,,97.4153,98.319125,1.085225,1.177713301,1.12%,1.12%,,,
75,83.5737,13,96.5737,97.47576667,98.21893333,-1.645233333,2.706792721,-1.70%,1.70%,,,,97.021625,97.4153,0.8416,0.70829056,0.87%,0.87%,,,
76,84.7052,13,97.7052,97.17093333,97.47576667,0.229433333,0.052639654,0.23%,0.23%,,,,97.200225,97.021625,-0.683575,0.467274781,-0.70%,0.70%,,,
77,83.8168,13,96.8168,97.0319,97.17093333,-0.354133333,0.125410418,-0.37%,0.37%,,,,96.688975,97.200225,0.383425,0.147014731,0.40%,0.40%,,,
78,82.4171,13,95.4171,96.64636667,97.0319,-1.6148,2.60757904,-1.69%,1.69%,,,,95.92325,96.688975,1.271875,1.617666016,1.33%,1.33%,,,
79,83.042,13,96.042,96.09196667,96.64636667,-0.604366667,0.365259068,-0.63%,0.63%,,,,96.0501,95.92325,-0.11875,0.014101563,-0.12%,0.12%,,,
80,83.6993,13,96.6993,96.0528,96.09196667,0.607333333,0.368853778,0.63%,0.63%,,,,96.160975,96.0501,-0.6492,0.42146064,-0.67%,0.67%,,,
81,82.2033,13,95.2033,95.98153333,96.0528,-0.8495,0.72165025,-0.89%,0.89%,,,,95.5618,96.160975,0.957675,0.917141406,1.01%,1.01%,,,
82,82.1413,13,95.1413,95.6813,95.98153333,-0.840233333,0.705992054,-0.88%,0.88%,,,,95.0705,95.5618,0.4205,0.17682025,0.44%,0.44%,,,
83,81.7961,13,94.7961,95.0469,95.6813,-0.8852,0.78357904,-0.93%,0.93%,,,,95.0144,95.0705,0.2744,0.07529536,0.29%,0.29%,,,
84,82.3241,13,95.3241,95.08716667,95.0469,0.2772,0.07683984,0.29%,0.29%,,,,94.993975,95.0144,-0.3097,0.09591409,-0.32%,0.32%,,,
85,81.5316,13,94.5316,94.88393333,95.08716667,-0.555566667,0.308654321,-0.59%,0.59%,,,,94.778825,94.993975,0.462375,0.213790641,0.49%,0.49%,,,
86,81.728,13,94.728,94.86123333,94.88393333,-0.155933333,0.024315204,-0.16%,0.16%,,,,94.881275,94.778825,0.050825,0.002583181,0.05%,0.05%,,,
87,82.5375,13,95.5375,94.93236667,94.86123333,0.676266667,0.457336604,0.71%,0.71%,,,,95.297675,94.881275,-0.656225,0.430631251,-0.69%,0.69%,,,
88,82.3877,13,95.3877,95.21773333,94.93236667,0.455333333,0.207328444,0.48%,0.48%,,,,95.4322,95.297675,-0.090025,0.008104501,-0.09%,0.09%,,,
89,82.4159,13,95.4159,95.44703333,95.21773333,0.198166667,0.039270028,0.21%,0.21%,,,,95.357425,95.4322,0.0163,0.00026569,0.02%,0.02%,,,
90,82.2102,13,95.2102,95.33793333,95.44703333,-0.236833333,0.056090028,-0.25%,0.25%,,,,95.4009,95.357425,0.147225,0.021675201,0.15%,0.15%,,,
91,82.7673,13,95.7673,95.46446667,95.33793333,0.429366667,0.184355734,0.45%,0.45%,,,,95.71705,95.4009,-0.3664,0.13424896,-0.38%,0.38%,,,
92,83.1234,13,96.1234,95.7003,95.46446667,0.658933333,0.434193138,0.69%,0.69%,,,,96.0586,95.71705,-0.40635,0.165120323,-0.42%,0.42%,,,
93,83.2203,13,96.2203,96.037,95.7003,0.52,0.2704,0.54%,0.54%,,,,96.50375,96.0586,-0.1617,0.02614689,-0.17%,0.17%,,,
94,84.451,13,97.451,96.59823333,96.037,1.414,1.999396,1.45%,1.45%,,,,97.2592,96.50375,-0.94725,0.897282562,-0.97%,0.97%,,,
95,84.9145,13,97.9145,97.19526667,96.59823333,1.316266667,1.732557938,1.34%,1.34%,,,,98.010225,97.2592,-0.6553,0.42941809,-0.67%,0.67%,,,
96,85.7609,13,98.7609,98.04213333,97.19526667,1.565633333,2.451207734,1.59%,1.59%,,,,98.416625,98.010225,-0.750675,0.563512956,-0.76%,0.76%,,,
97,85.2302,13,98.2302,98.30186667,98.04213333,0.188066667,0.035369071,0.19%,0.19%,,,,98.738125,98.416625,0.186425,0.034754281,0.19%,0.19%,,,
98,86.7312,13,99.7312,98.90743333,98.30186667,1.429333333,2.042993778,1.43%,1.43%,,,,99.42435,98.738125,-0.993075,0.986197956,-1.00%,1.00%,,,
99,87.0048,13,100.0048,99.32206667,98.90743333,1.097366667,1.204213601,1.10%,1.10%,,,,99.4495,99.42435,-0.58045,0.336922203,-0.58%,0.58%,,,
100,85.0572,13,98.0572,99.2644,99.32206667,-1.264866667,1.599887684,-1.29%,1.29%,,,,,99.4495,1.3923,1.93849929,1.42%,1.42%,,,
101,,,,,99.2644,,,,,,,,,99.4495,,,,,,,
102,,,,,99.2644,,,,,,,,,99.4495,,,,,,,
103,,,,,99.2644,,,,,,,,,99.4495,,,,,,,
104,,,,,99.2644,,,,,,,,,99.4495,,,,,,,
